id,code,loc_ru,loc_en,name_ru,name_en
111,11100000,"Точ",Point,"астрономические пункты ⚔",
112,11200000,"Точ",Point,"пункты ггс ⚔",
113,11300000,"Точ",Point,"точки съемочной сети ⚔",
114,11400000,"Точ",Point,"пункты нивелирной сети ⚔",
1211,12110000,"Точ",Point,"отметки высот командные ⚔",
1212,12120000,"Точ",Point,"отметки высот прочие ⚔",
122,12200000,"Точ",Point,"отметки высот у ориентира ⚔",
123,12300000,"Точ",Point,"отметки высот на искусств. об. ⚔",
1311,13110000,"Лин",Line,"линии меридианов ⚔",
13111,13111000,"Лин",Line,"выходы линий меридианов ⚔",
1312,13120000,"Лин",Line,"линии параллелей ⚔",
13121,13121000,"Лин",Line,"выходы линий параллелей ⚔",
1321,13210000,"Лин",Line,"вертикал. линии прямоугол. сетки ⚔",
1322,13220000,"Лин",Line,"горизонт. линии прямоугол. сетки ⚔",
1323,13230000,"Лин",Line,"выходы вертикал. сетки смеж. зон ⚔",
1324,13240000,"Лин",Line,"выходы горизонт. сетки смеж. зон ⚔",
1341,13410000,"Лин",Line,"пересечение к/линий (меридианы) ⚔",
1342,13420000,"Лин",Line,"пересечение к/линий (параллели) ⚔",
1343,13430000,"Лин",Line,"штрихи линий меридианов ⚔",
1344,13440000,"Лин",Line,"штрихи линий параллелей ⚔",
2,2,,,,elevation
21,21,,,,"elevation symbols"
211,21100000,"Лин",Line,"горизонтали утолщенные","Thick contour lines"
212,21200000,"Лин",Line,"горизонтали основные","Major contour lines"
213,21300000,"Лин",Line,"горизонтали дополнительные ⚔","Supplementary contour lines"
214,21400000,"Лин",Line,"горизонтали вспомогательные ⚔","Auxiliary contour lines"
215,21500000,"Плщ",Poly,"крутые склоны (1см. и более)","Steep slopes"
221,221,,,,glaciology
2211,22110000,"Плщ",Poly,ледники,Glaciers
22111,22111000,"Лин",Line,"граница ледников","Boundaries of glaciers"
22121,22121000,"Плщ",Poly,"фирновые поля","Firn fields"
221211,22121100,"Лин",Line,"граница фирновых полей","Boundaries of firn fields"
2213,22130000,"Лин",Line,"ледниковые трещины","Crevasses in glaciers"
2214,22140000,"Лин, Плщ","Line, Poly","выходы ископаемых льдов","Relict ice"
22151,22151000,"Лин, Плщ","Line, Poly","ледяные обрывы","Ice cliffs"
2216,22160000,"Лин, Плщ","Line, Poly","морены",Moraine
2217,22170000,"Лин",Line,"бровка обрывов ледяных","Edges of ice cliffs"
2221,2221,,,,"erosion features"
22211,22211000,"Лин, Плщ","Line, Poly","овраги",Ravines
22212,22212000,"Лин, Плщ","Line, Poly","промоины",Gullies
22213,22213000,"Лин",Line,"бровка оврага, промоины","Edges of ravines or gullies"
