ABANDONED,Deserted.
ACCESS,The type of connection available to a given transportation feature.
ACIDITY,The degree to which hydrogen ions are held by soil colloids or water.
ACTIVE/INACTIVE,Engaged in activity versus no longer in use.
ADMINISTRATION,The organization that has charge of or directs or manages the operation of the feature.
AERONAUTICAL_NAVIGATIONAL,Involving transmission of special radio signals intended to assist in the determination of aircraft position including that relative to collision hazards.
AGE,The first year in existence.
AIR/LAND/WATER,"Existing in or part of the atmosphere, the Earth's dry surface, or a body of water."
AIRCRAFT_LANDING,Suitable for or designed for aircraft to descend toward and settle on.
ALTITUDE,"The height of a thing above a reference level, especially above the Earth's surface. See also HEIGHT, ELEVATION."
ANNUAL_PRECIPITATION,The quantity of rain and snow falling within the period of a year.
ARCHITECTURAL_PROPERTIES,The style or method of design or construction.
AREA,The measure of a planar region of the Earth's surface.
AREA_DIVIDED,The part of the Earth's surface apportioned.
ARTIFICIALLY_IMPROVED/MANMADE/NATURAL,Artificially improved: naturally existing feature with manmade alterations; manmade: made by man rather than occurring in nature; natural: present in or produced by nature.
ATTACHED_TO_LAND,Connected to a body of land.
BARE,"Exposed, not covered with such things as ice, snow or trees."
BEARING_CAPACITY,The ability of a surface or a structure to bear weight.
BLIND/OPEN,"Blind, not having an outlet versus open, allowing continuous passage."
BOUNDARY_MARKER,Serving to preserve and identify the location of the boundary line.
BRAIDED,Split into many parts or choked with sandbars that divide it into an intricate network of interlacing channels.
BRANCH/PARENT,Relationship between a main stream and one of its tributaries.
BUILDINGS_NUMBER_OF,The number of permanent walled constructions present.
BUOYED,Marked with buoys used as navigation aids.
CARGO_TRANSPORTATION,Used for the moving of freight from one place to another.
CHAMBERS_NUMBER_OF,The number of enclosed spaces or compartments.
CHARTED_DEPTH,The vertical distance from the tidal datum to the bottom.
CIRCUMFERENCE,The length of the boundary line of any closed curvilinear feature.
CLEARANCE,The vertical distance from a surface to the nearest overhead obstruction.
COASTAL,Pertaining to the edge of land next to the sea.
COG,Equipped with teeth to transmit motive force to a corresponding wheel.
COLOR,That aspect of things that is caused by differing wave lengths of light reflected or emitted by them.
COLOR_PATTERN,The color or combination of colors in the geometrical design or pattern.
COMMERCIAL,Used or exploited for financial gain.
COMMERCIAL_SHIPPING,Travel or traffic by water vessels carrying commercial goods.
COMMUNICATION/NONCOMMUNICATION,Used for transmission or reception of communication signalsversus not used for the transmission or reception of communication signals.
COMPOSITION,The specified mixture or combination of one or more elements or ingredients.
CONNECTED_BY_SWITCHES/MAIN_TRACK,"Connected by switches: a railway segment such as a siding or spur, requiring passing through a switch to gain access to the main track."
CONSTRICTION,Having a narrow place in the feature.
CONSTRUCTION_TYPE,The structural configuration of a feature.
CONTINENTAL_DIVIDE,Separates drainage basins that flow to opposite sides of a continent.
CONTROL,To exercise authority or dominating influence over; direct; regulate/verify.
CONTROL_OVER_WATER_LEVEL,Having some means of regulating the height of a specific body of water.
CONTROLLING_DEPTH,The least depth in the approach or channel to an area governing the maximum draft of vessels that can enter.
CONTROLLED/UNCONTROLLED,Authority or dominating influence exercised over; directed; applies to air traffic near and at an airport.
COVERED/UNCOVERED,Having something placed over the feature versus not having anything over it.
CROP_USE,The employment or purpose of an agricultural product.
CROSS_SECTIONAL_AREA,A section formed by a plane cutting through an object at right angles to an axis.
CULTIVATED,Improved and prepared land; plowed or fertilized or tended for growing crops.
DANGER_TYPE,The kind of or source of peril.
DANGEROUS,Involving or fraught with danger; perilous. Apt or able to do harm.
DECIDUOUS/EVERGREEN,"Deciduous, characterized by shedding foliage at the end of its growing season."
DENSITY_OF_GROWTH,The degree or measured degree to which the area is filled or occupied by plant life.
DEPTH_BELOW_GROUND_SURFACE,Distance downward from the elevation of the local ground surface to the bottom of a feature.
DIAGNOSTIC,Used to check system accuracy.
DIAMETER,The length of a line segment passing through the center of a circular shaped feature.
DIRECTION,The relationship by which the alignment or orientation of any position with respect to any other position is established.
DIRECTION_OF_FLOW,The line or course of movement of water or lava shown by the position of one point relative to another without reference to the distance between them. The direction is usually indicated in terms of its angular distance from a reference direction.
DISCHARGE,Cubic measure of water flowing per unit of time.
DISCOLORED,Having a changed or spoiled color.
DRAINAGE,Used for removing water from the ground surface.
DRAINED,Water has been drawn off the ground surface.
DREDGED,Deepened by various machines equipped with scooping or suction devices usually attached to barges or boats.
DUAL_GAUGE,Having a third rail to permit use by non-standard gauge rolling stock.
DWELLING,Used as a residence or an abode.
EDDIES_PRESENT,Presence of currents moving contrary to the direction of the main current especially in a circular motion.
