incterm,ents
Accessway,ROAD
Administrative boundary,BOUNDARY
Aeration beds,FILTRATION BEDS
Aerial cableway,CABLEWAY
Aerial cableway lines,CABLEWAY
Aerial cableway pylon,TOWER
Aerodrome,AIRPORT
Aerodrome beacon,BEACON
Aerodrome control tower,TOWER
Aeronautical beacon,BEACON
Aeronautical light,BEACON
Aeronautical navigational radio station,"BUILDING, BUILDING COMPLEX"
Aeronautical radio beacon,BEACON
Air beacon,BEACON
Air route,LANE
Airdrome,AIRPORT
Airfield,RUNWAY
Airfield revetment,WALL
Airport beacon,BEACON
Airport traffic area,APPROACHWAY
Airport traffic control tower,TOWER
Airstrip,RUNWAY
Alley,ROAD
Alluvial fan,DELTA
Alternate aerodrome,AIRPORT
Alternating light,BEACON
Amphitheater,OUTDOOR THEATER
Amusement park,PARK
Anabranch,WATERCOURSE
Anchor buoy,BUOY
Anchor light,BEACON
Anchorage,HARBOR
Anchorage buoy,BUOY
Animal sanctuary,PARK
Animal sanctuary boundary,BOUNDARY
Anse,INLET
Apartment building,BUILDING
Apartment complex,BUILDING COMPLEX
Approach area,APPROACHWAY
Approach lights,BEACON
Approach path,APPROACHWAY
Approach to highway,ROAD
Apron,"PARKING AREA, PLAIN"
Aqueduct,WATERCOURSE BRIDGE
Arched iceberg,ICEBERG
Archipelago,"SEA, ISLAND CLUSTER"
Archipelago apron,PLAIN
Arctic pack,ICE FIELD
Arena,BUILDING
Arete,RIDGE
Arm,INLET
Armistice line,BOUNDARY
Armory,"BUILDING, BUILDING COMPLEX"
Army camp,MILITARY BASE
Arroyo,WATERCOURSE
Art gallery,BUILDING
Artificial harbor,HARBOR
Athletic club,BUILDING
Astronomic position,CONTROL POINT
Athletic field,SPORTS FIELD
Atoll,"REEF, ISLAND"
Atoll reef,REEF
Auditorium,BUILDING
Automobile plant,BUILDING COMPLEX
Auxiliary aerodrome,AIRPORT
Avenue,ROAD
Awash rock,ROCK
Awawa,WATERCOURSE
Back marsh,WETLAND
Backswamp,WETLAND
Bald,"CLEARING, MOUNT"
Ball,BAR
Ball park,"PARK, SPORTS FIELD"
Bamboo,WOODLAND
Bandstand,OUTDOOR THEATER
Bank,"MOUNT, SHORE"
Bank reef,REEF
Bar buoy,BUOY
Bar port,PORT
Bare rock,ROCK
Barn,BUILDING
Barracks,"BUILDING, BUILDING COMPLEX"
Barrage,DAM
Barranca,WATERCOURSE
Barrier basin,BASIN
Barrier beach,BAR
Barrier flat,"WETLAND, FLAT"
Barrier iceberg,ICEBERG
Barrier island,"BAR, ISLAND"
Barrier lagoon,LAGOON
Barrier reef,REEF
Bascule bridge,BRIDGE
Battery,FORT
Bay,INLET
Bay head bar,BAR
Bay bar,BAR
Bay barrier,BAR
Bay delta,DELTA
Bay ice,ICE FIELD
Baymouth bar,BAR
Bayou,"LAKE, WATERCOURSE"
Beach berm,BEACH
Beach cusps,RIDGE
Beach face,SHORE
Beach ridge,RIDGE
Beach scarp,CLIFF
Beaver dam,DAM
Beck,WATERCOURSE
Bell buoy,BUOY
Bench,TERRACE
Bench mark,CONTROL POINT
Bend,WATERCOURSE
Bery,"MOUNT, ICEBERG"
Bicycle path,ROAD
Bicycle trail,ROAD
Bifurcation buoy,BUOY
Bight,INLET
Billboard,SIGN
Bird sanctuary,PARK
Blanket bog,WETLAND
Blast barrier,WALL
Bluff,"CLIFF, WOODLAND"
Boardwalk,ROAD
Boat basin,HARBOR
Boat harbor,HARBOR
Boat landing,"WHARF, PIER, LANDING PLACE"
Boathouse,BUILDING
Bog,WETLAND
Bollard,MOORING
Boom,BREAKWATER
Borough,PLACE
Borrow pit,MINE
Botanical garden,PARK
Boulevard,ROAD
Boundary line,BOUNDARY
Boundary lights,BOUNDARY BEACON
Boundary monument,CONTROL POINT
Boundary sign,SIGN
Braided river,WATERCOURSE
Braided stream,WATERCOURSE
Brake,WOODLAND
Branch,WATERCOURSE
Brigalow,WOODLAND
Brine well,WELL
Brook,WATERCOURSE
Brush,WOODLAND
Built up area,PLACE
Bulkhead,"BREAKWATER, EMBANKMENT, WALL"
Burn,CLEARING
Burnt over area,CLEARING
Bush,WOODLAND
Butte,PLATEAU
Caatinga,WOODLAND
Cable,UTILITY
Cable buoy,BUOY
Cadastral boundary,BOUNDARY
Cadastral monument,CONTROL POINT
Cairn,CONTROL POINT
Caisson,GATE
Caldera,CRATER
Calibration radiobeacon,BEACON
Camber,HARBOR BASIN
Campsite,CAMPGROUND
Can buoy,BUOY
Canal,WATERCOURSE
Canal port,PORT
Cannery,"BUILDING, BUILDING COMPLEX"
Canyon,VALLEY
Canyon delta,DELTA
Carline,RAILWAY
Cart track,ROAD
Cascade,WATERFALL
Cask buoy,BUOY
Cataract,RAPIDS
Catch basin,"LAKE, TANK"
Cathedral,BUILDING
Cattle gate,GATE
Cattle underpass,TUNNEL
Cauldron,BASIN
Causeway,ROAD
Cavern,CAVE
Cay,ISLAND
Cease fire line,BOUNDARY
Ceja,CLIFF
Cement plant,BUILDING COMPLEX
Cerrito,MOUNT
Cerro,"MOUNT, RIDGE"
Chanaral,WOODLAND
Channel,"WATERCOURSE, LANE"
Channel buoy,BUOY
Channel light,BEACON
Channel marker,"BEACON, BUOY"
Chaparral,WOODLAND
Chapeirao,PINNACLE
Chasm,VALLEY
Checkered buoy,BUOY
Chemical plant,BUILDING COMPLEX
Church,BUILDING
Cinder cone,MOUNT
Circular beacon,BEACON
Cistern,TANK
City,PLACE
City hall,BUILDING
City limits,BOUNDARY
City square,PARK
Claim line,BOUNDARY
Cleared area,CLEARING
Clinic,BUILDING
Closed bay,INLET
Closed sea,SEA
Clover leaf interchange,INTERSECTION
Coastal shoreline,SHORELINE
Coast guard station,"BUILDING, BUILDING COMPLEX"
Coast guard lines,BOUNDARY
Coastal area,COAST
Coastal plain,"PLAIN, COAST"
Coastline,SHORELINE
Code beacon,BEACON
Col,GAP
College,"BUILDING, BUILDING COMPLEX"
Colored light,BEACON
Colregs demarcation line,BOUNDARY
Combination buoy,BUOY
Community,PLACE
Conical buoy,BUOY
Coniferous forest,WOODLAND
Conservation area,RESERVE
Continental glacier,ICE FIELD
Continental ice,ICE FIELD
Continuous radiobeacon,BEACON
Control survey monument,CONTROL POINT
Control tower,TOWER
Controlled access road,ROAD
Controlled aerodrome,AIRPORT
Convent,BUILDING
Cooling tower,TOWER
Copse,WOODLAND
Convention mandate line,BOUNDARY
Coral head,PINNACLE
Coral reef,REEF
Corduroy road,ROAD
Coulee,"VALLEY, WATERCOURSE"
Course,"LANE, WATERCOURSE"
Courthouse,BUILDING
Cove,INLET
Covered bridge,BRIDGE
Crag,"CLIFF, PINNACLE"
Creek,WATERCOURSE
Crematorium,BUILDING
Crest,RIDGE
Crevice,"CREVASSE, VALLEY"
Crossing,INTERSECTION
Crossing gate,GATE
Cuesta,"RIDGE, MOUNT"
Cul de sac,ROAD
Cultivated field,CROPLAND
Cultivated area,CROPLAND
Culvert,WATERCOURSE
Cuspate bar,BAR
Cuspate spit,BAR
Custom boundary,BOUNDARY
Cut line,CLEARING
Cut off,WATERCOURSE
Dale,VALLEY
Dan buoy,BUOY
Danger buoy,BUOY
Dangerous wreck,WRECK
Dangerous rock,ROCK
Daybeacon,BEACON
Dead end street,ROAD
Deciduous forest,WOODLAND
Deep,TROUGH
De facto boundary,BOUNDARY
Defile,"GAP, VALLEY"
Dell,VALLEY
Delta moraine,MORAINE
