id,code,loc_en,name_en,name_ch,trans_latex,trans
s95000,95000,,water system,水系,Shu\u{i} X\`{i},Shuui Xi
s95100,95100,,river,河川,H\'{e} Chuan,H'e Chuan
s95110,95110,,(type),(種類),(Zh\u{o}ng L\`{e}i),(Zhuong Lei)
s95111,95111,,river/brook/stream,"江,河,溪","Ji\`{a}n, H\'{e}, C\'{i}","Jian,H'e,C'i"
s95112,95112,,intermittent stream,時令河,Sh\'{i} L\`{i}ng H\'{e},Sh'i Ling H'e
s95113,95113,,wadi river,乾河,G\={a}n H\`{e},Gan He
s95114,95114,,stream,小河,Xi\u{a}o H\'{e},Xiuao H'e
s95115,95115,,canal,運河,{Y\'{u}n H\'{e},Y'un H'e
s95116,95116,line,double line ditch,"溝,渠",G\={o}u Q\u{i},Gou Qui
s95117,95117,line,single line ditch,小水溝,Xi\u{a}o Shu\u{i} G\={o}u,Xiuao Shuui Gou
s95120,95120,,(facility),(附屬設施),(F\`{u} Sh\u{u} Sh\`{e} Sh\={i}),(Fu Shuu She Shi)
s95130,95130,,construction along shore,岸邊工程,{A}n Bi\={a}n G\={o}ng Ch\'{e}ng,An Bian Gong Ch'eng
s95140,95140,,terrain in river or along shore,"河岸,河中地形","H\'{e} \`{A}n, H\'{e} Zh\={o}ng D\`{i} X\'{i}ng",H'e An/ H'e Zhong Di X'ing
s95150,95150,,(flow property),(水流性質),(Shu\u{i} Li\'{u} X\`{i}ng Zh\'{i}),(Shuui Li'u Xing Zh'i)
s95151,95151,,rapid,湍流,Tu\={a}n Li\'{u},Tuan Li'u
s95152,95152,,fall,瀑布,P\`{u} B\`{u},Pu Bu
s95153,95153,,flow direction,河川流向,H\'{e} Chuan Li\'{u} Xi\`{a}ng,H'e Chuan Li'u Xiang
s95200,95200,,water area,面狀水域,Mi\`{a}n Zhu\`{a}ng Sh\u{u}i Y\`{u},Mian Zhuang Shuui Yu
s95210,95210,,(type),(種類),(Zh\u{o}ng L\`{e}i),(Zhuong L'ei)
s95211,95211,,lake,湖泊,H\'{u} B\'{o},H'u B'o
s95212,95212,,pond,池塘,Ch\'{i} T\'{a}ng,Ch'i T'ang
s95213,95213,,dry pool,乾池,G\={a}n Ch\'{i},Gan Ch'i
s95214,95214,,bog,沼澤,Zh\u{a}o Z\'{e},Zhuao Z'e
s95215,95215,,wetland,濕地,Sh\={i} D\`{i},Shi Di
s95216,95216,,reservoir,水庫,Shu\u{i} K\`{u},Shuui Ku
s95217,95217,,cistern,蓄水池,X\`{u} Shu\u{i} Ch\'{i},Xu Shuui Ch'i
s95220,95220,,facility,附屬設施,F\`{u} Sh\u{u} Sh\`{e} Sh\={i},Fu Shuu She Shi
s95300,95300,,coast,海岸,H\u{a}i \`{A}n,Huai An
s95310,95310,,coast,海岸,H\u{a}i \`{A}n,Huai An
s95311,95311,,cliffy coast,崖岸,Y\'{a}i \`{A}n,Y'ai An
